,별점,리뷰내용,작성자,작성일자,공감,비공감
515,10,관람객오랜만에 티켓값이 안아까운 영화를 본거 같네요. 강추입니다. ,leeh****,2018.05.02 15:41,6,0
516,10,관람객기차지나고 캡틴 등장할때 소름 ,keum(ajpm****),2018.05.02 13:52,6,0
517,10,졸잼 로키가조금나와아쉽다는 ,bej2****,2018.05.01 21:43,6,0
518,10,이젠 가망이 없어. 박지훈은 어서 하차하라. ,붉은선인장(tomm****),2018.05.01 21:41,6,0
519,10,관람객로키 안죽고 살아있겠지? ,정체불명(kimn****),2018.05.01 21:22,6,0
520,10,당연히 마블을 잘모르면 뭐이딴영화가 있냐그러겠지...ㅋㅋㅋㅋ뭘좀 알고 보세요 인기많네 잼있겠다 보러가야지 하면 망하는겁니다 ,걸어다니는고양이(jjgi****),2018.05.01 09:41,6,0
521,10,관람객재밋엇구 다음작이 더 기대되네용 ,몰러(audd****),2018.05.01 09:23,6,0
522,10,관람객고냥 개꿀잼 오역된건 조금 그렇다!! ,Luminous7(sjk2****),2018.04.30 23:13,6,0
523,9,관람객무엇을 잃었나요?제 멘탈이요... ,리D(zero****),2018.04.30 19:37,6,0
524,10,관람객토르는 진짜 신이었다는걸 다시 한 번 깨달았다 ,popo(wls2****),2018.04.30 03:09,6,0
525,10,관람객영화비 싸다는 생각이~~재밌어요 ,에띰라인(choi****),2018.04.29 23:09,6,0
526,10,허탈하고 멍 해요 계속 다시 보고싶은 영화 .. ,유민(osca****),2018.04.29 22:09,6,0
527,9,관람객빨리담편보고싶어요ㅠㅠ ,wt(cjs5****),2018.04.29 21:29,6,0
528,9,관람객너무 기대되서 개봉날 가장 첫시간에 상영한 것을 봤는데 끝마무리가 아쉽다. ,ansh(pomi****),2018.04.29 21:24,6,0
529,10,토르 지구 귀한 장면에서 전율....캬 ,윤슥가(fkxm****),2018.04.29 20:37,6,0
530,10,오역 중요한거빠진게 하나더있네여토르가 가디언즈만났을때 아스가르드인이 다 죽었다고 했는데 ‘절반’만 죽었다고 했습니다.따라서 발키리가 살아있을수도 있어요...닉퓨리랑 닥스오역은 많이아시는데 토르오역은 잘모르시더라고여....,김동주(pill****),2018.04.29 20:27,6,0
531,10,관람객개인적으로 올해의 최고의 영화 ,프로스페스(ksg8****),2018.04.29 19:40,6,0
532,10,닥터는 굳이 건틀릿 뺄때 그다지 노력하지 않았음 ,선지(fnvk****),2018.04.29 13:27,6,0
533,10,"마블이 마음먹으면 무섭고 위대한 이유. 긴 러닝타임 동안 꽉 쥔 주먹을 펴지 못했다. 우리가 바랬던 완전체 영웅들과 역대급 빌런, 마블이 10년간 얼마나 성장했는지 느꼈다. ",b001****,2018.04.29 02:13,6,0
534,9,관람객화려한 액션과 입체적인 빌런 ,sohn****,2018.04.28 19:43,6,0
535,10,관람객2시간 30분동안 지루하지 않은 영화 ,ghhd****,2018.04.28 14:27,6,0
536,10,관람객다음시리즈핵궁금..졸잼꿀잼허니잼 ,유혜미(rsta****),2018.04.28 11:43,6,0
537,10,닥터는 쉽게포기하는 찌질이가 아니에요우주최고의 마법사 소서러슈프림 입니다 ,ww23****,2018.04.28 10:32,6,0
538,10,"영화는 10점을 받아도 아깝지 않았습니다... 근데, 번역가님 장난하시나요? 아니, 이걸 굳이 이 번역가에게 맡기시다니... 예전부터 논란이 많던 번역가인데... 제대로 번역된 인피니티워로 다시 한 번 보고싶네요. ",의식의흐름(side****),2018.04.28 07:55,6,0
539,10,관람객역대급~꼭. 아이맥스로 보시길 ,짱또리(zzan****),2018.04.28 07:53,6,0
540,10,헐크는 타노스에게 졸라 쳐 맞아서 쫄아서 변신 못하게 된건가?? ,사랑천사(ilsa****),2018.04.28 00:56,6,0
541,10,번역은 타일러에게.... ,shin(shin****),2018.04.28 00:30,6,0
542,10,이 영화를 한국영화랑 같은 돈을 주고 본다는건 반칙이다. 한국영화는 반값으로 해라 ,울라이(55wo****),2018.04.27 23:29,6,0
543,10,관람객역시 믿고보는 어벤져스. 신은 인간과 다르다는걸 보여주는 편인거 같아요. 토르가 정말 멋있어요ㅠ ,정진환(g_na****),2018.04.27 23:23,6,0
