,별점,리뷰내용,작성자,작성일자,공감,비공감
776,10,어벤져스다!!!!~~~믿고보는거지!!! ,강한맘(flyg****),2015.04.28 06:21,3,0
777,8,재밋음. 전투신은 죽여줌 ,젤리빈(kimm****),2015.04.27 23:58,3,0
778,10,나는 토니의 유머가 너무 좋습니다 ,칠링칠링(tpte****),2015.04.27 23:05,3,0
779,2,어벤져스는 끝났다! 희망이 없다! ,김보성(bs75****),2015.04.27 17:12,3,0
780,8,5점 이하 주는것들은 알바냐? 아무리 호불호가 갈린다 해도 5점 이하의 영화는 아니다. ,와룡선생(alte****),2015.04.27 11:38,3,0
781,10,막 재밌음.이상10자끝 ,leo2****,2015.04.27 11:24,3,0
782,7,아니 우리나라 나오는데 차상태들이 ㄱㅋ크ㅋ요즘보이지도 않는 정겨운차들에 시골동네같이 나오고뭔가 내용이없어 겁나 지들끼리 싸우다 끝나;;로맨스도 어정쩡~ 개그도 어정쩡~ 걍 새로운 영웅들 소개용인가;; ,하니(skql****),2015.04.27 03:21,3,0
783,10,배우들 너무멋잇다 사랑해요 배우들 재밋다 재밋다재밋다 ,didg****,2015.04.27 01:52,3,0
784,10,굿굿 마블영화는 꼭 영화관에서 봐야.. ,Rodriguez(sjw8****),2015.04.26 23:05,3,0
785,10,역쉬~미국이란 나라가 없엇음 사는재미가 참 없엇을것이야 ㅎ ,ddam****,2015.04.26 16:15,3,0
786,5,"최상의 식재료를 가지고,  학원생이 요리한 느낌 ",44wl****,2015.04.26 13:06,3,0
787,8,그냥 저냥 마냥 아쉽다. ,good****,2015.04.26 08:54,3,0
788,8,영화는 재미있었는데 애덜땜시 짜증나네요. 러닝타임 두시간이면 애들은 집중 안되는 영화임. 계속 떠들고 움직이고 화장실 간다고 왔다갔다하고 앞자리 계속 차고. 애들은  제발 극장에 델꾸오지 맙시다. ,sund****,2015.04.26 01:53,3,0
789,10,최고의 영화 최고의 마블 영화 ,개 코(psh9****),2015.04.25 23:49,3,0
790,8,기대 보다는 재미가없다 ,신동두루미(emfl****),2015.04.25 23:13,3,0
791,10,"비전의 태양권과 스칼렛위치의 에네르기파,하지만 진짜 재밌었다. 꼭보세요 ",wodn****,2015.04.25 15:13,3,0
792,10,울트론의 포스가 예고편의 포스에비해 너무 아쉬웠지만... 재미있습니다! ,momo(scy_****),2015.04.25 15:11,3,0
793,10,한국나왔을때 개설랬다. 아주 묘했고 스토리라인자체는 조금 부실했다만 영상미가 모든걸 뛰어넘었다 ,뿌뿌뿡(zxcv****),2015.04.25 14:09,3,0
794,8,기대가 크면 실망이 큰 법~ 1편보다 못하다~  케릭터가 너무 많아 산만하고 ... 마지막 장면 씬이 재밋어야 하는대...너무 지루하다~ ,뽀글(bogr****),2015.04.25 12:10,3,0
795,7,1이 훨씬 재밌네요.기대만큼은 아닌듯. ,abcde(gree****),2015.04.25 11:38,3,0
796,7,액션은 화려하나 울트론이  동네북임  너무 약해서 긴장감 제로 ,odob****,2015.04.25 11:01,3,0
797,6,기대많이해서실망이더큼 지루하고액션신도그닥기억남는게없네.. ,벤베크만(cown****),2015.04.25 10:56,3,0
798,7,인피니트워 를 향한 단단한 징검다리 (추신: 최고의 명장면은 즉석떡볶이!) ,캡틴마벨러스(klk3****),2015.04.25 10:32,3,0
799,8,잼긴 잼다만 끝이 뭔가아쉬움... 2%부족한데 그게뭘까...? ,JiYeon(sall****),2015.04.25 08:20,3,0
800,10,마블의 위엄함에 소름이 돋습니다.... ,swan****,2015.04.25 07:47,3,0
801,10,화려한 전투씬 손에땀났음 ,용빠(vict****),2015.04.25 05:21,3,0
802,8,약간 아쉬운 퍼즐조각 .  헐크버스터가 후반부에 나왔으면 어땠을까? ,신(jinh****),2015.04.25 04:34,3,0
