,별점,리뷰내용,작성자,작성일자,공감,비공감
111,10,어벤져스의 탄생과 그시작 ,가레스(leeu****),2019.04.30 20:35,5,0
112,10,마블 포에버 명작명작명작 ,kkw0****,2019.04.29 23:49,5,0
113,10,슈퍼 블록버스터의 서막. 슈퍼 히어로들이 한 영화에 다 같이 나온다는 것만으로도 기념비적인 영화. ,3점슛(hoju****),2018.07.23 00:22,5,0
114,10,미래에서 왔다... 너희들을 보며 말하고 싶은 말은... 오늘 저녁은 치킨이닭! ,Roller(48co****),2018.05.09 21:25,5,0
115,8,어벤져스 시리즈의 첫시작... 그자체로도 인상깊다. ,미니언즈(mari****),2018.05.09 12:05,5,0
116,10,지금 다시보니알겠다. 이게 마블씨리즈 중에 최고다 ,미드최고(kcys****),2018.05.09 02:13,5,0
117,7,액션영화 라면 이래야지.. ,유대혁(ydh8****),2018.05.04 00:56,5,0
118,10,자 과거로 돌아가보자 again gers ,ghks****,2018.04.27 02:24,5,0
119,10,다시봐도 언제봐도 재밌고 푹 빠져서 봤습니다사랑해요 어벤져스♥? 정말 인생 영화 입니다 ,전예은(jjh2****),2018.03.03 05:43,5,0
120,10,무슨말이 필요한가 그냥 전설이지 ,khs9****,2018.02.28 05:15,5,0
121,10,액션은 역대 슈퍼히어로 영화중에서는 최고였음. 6명의 분량을 적절히 배분시킴 ,가나다라(wyve****),2018.02.26 20:26,5,0
122,10,이 영화때문에 2010년대 슈퍼히어로 무비가 유행이 된거고 너도나도 각자만의 세계관(시네마틱 유니버스)구축을 하게됨. 단독 주연 히어로 영화에서 보던 각자의 캐릭터들이 한 자리에 모였다는게 정말 소름이 돋을정도로 기...,리즈(duwn****),2018.02.23 09:21,5,0
123,8,여러 히어로들이 만난것 만으로도 의미있는 작품 ,넥셔스이글(alsw****),2018.02.16 21:56,5,0
124,10,말이 필요없음 이건 ㅇㅈ? ,knni****,2018.01.30 16:34,5,0
125,7,캡틴아메리카 의상만 괜찮았다면 완벽했을 영화 ,대나무소금(akde****),2017.11.13 14:23,5,0
126,10,마블의 모든 기운이 모였다 ,wehrmacht(woon****),2017.10.04 20:46,5,0
